cell_id,centroid_x,centroid_y,dx,dy,bearing_deg,ds_id,area_m2,soil_type,wpf_ymin,wpf_ymax,wpf_k
174,1526429.087000,5172178.971000,-184.999700,-334.999500,208.909181,208,100.000000,Organic patch,1.100000,2.200000,0.038000
175,1526439.087000,5172178.971000,-174.999700,-334.999500,207.582024,207,100.000000,Organic patch,1.100000,2.200000,0.038000
176,1526449.087000,5172178.971000,-164.999700,-334.999500,206.221959,206,100.000000,Organic patch,1.100000,2.200000,0.038000
177,1526459.087000,5172178.971000,-154.999700,-334.999500,204.829337,204,100.000000,Organic patch,1.100000,2.200000,0.038000
178,1526469.087000,5172178.971000,-144.999700,-334.999500,203.404678,203,100.000000,Organic patch,1.100000,2.200000,0.038000
179,1526479.087000,5172178.971000,-134.999700,-334.999500,201.948685,201,100.000000,Organic patch,1.100000,2.200000,0.038000
180,1526489.087000,5172178.971000,-124.999700,-334.999500,200.462254,200,100.000000,Organic patch,1.100000,2.200000,0.038000
181,1526499.087000,5172178.971000,-114.999700,-334.999500,198.946485,198,100.000000,Organic patch,1.100000,2.200000,0.038000
182,1526509.087000,5172178.971000,-104.999700,-334.999500,197.402682,197,100.000000,Organic patch,1.100000,2.200000,0.038000
183,1526519.087000,5172178.971000,-94.999700,-334.999500,195.832362,195,100.000000,Organic patch,1.100000,2.200000,0.038000
184,1526529.087000,5172178.971000,-84.999700,-334.999500,194.237253,194,100.000000,Organic patch,1.100000,2.200000,0.038000
185,1526539.087000,5172178.971000,-74.999700,-334.999500,192.619292,192,100.000000,Organic patch,1.100000,2.200000,0.038000
186,1526549.087000,5172178.971000,-64.999700,-334.999500,190.980617,190,100.000000,Organic patch,1.100000,2.200000,0.038000
187,1526559.087000,5172178.971000,-54.999700,-334.999500,189.323555,189,100.000000,Organic patch,1.100000,2.200000,0.038000
188,1526569.087000,5172178.971000,-44.999700,-334.999500,187.650612,187,100.000000,Organic patch,1.100000,2.200000,0.038000
189,1526579.087000,5172178.971000,-34.999700,-334.999500,185.964445,185,100.000000,Organic patch,1.100000,2.200000,0.038000
190,1526589.087000,5172178.971000,-24.999700,-334.999500,184.267849,184,100.000000,Organic patch,1.100000,2.200000,0.038000
191,1526599.087000,5172178.971000,-14.999700,-334.999500,182.563723,182,100.000000,Organic patch,1.100000,2.200000,0.038000
192,1526609.087000,5172178.971000,-4.999700,-334.999500,180.855047,180,100.000000,Organic patch,1.100000,2.200000,0.038000
193,1526619.087000,5172178.971000,5.000300,-334.999500,179.144850,179,100.000000,Organic patch,1.100000,2.200000,0.038000
194,1526629.087000,5172178.971000,15.000300,-334.999500,177.436175,177,100.000000,Organic patch,1.100000,2.200000,0.038000
195,1526639.087000,5172178.971000,25.000300,-334.999500,175.732049,175,100.000000,Organic patch,1.100000,2.200000,0.038000
196,1526649.087000,5172178.971000,35.000300,-334.999500,174.035453,174,100.000000,Organic patch,1.100000,2.200000,0.038000
197,1526659.087000,5172178.971000,45.000300,-334.999500,172.349287,172,100.000000,Organic patch,1.100000,2.200000,0.038000
